POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2174,0,4,29,31,21,4,4,0,0,93,12,26,91,98,38,28,4,0,0,295,175,510,1621,1877,950,383,45,4,0,5564
POA2175,0,3,5,8,7,10,0,0,0,42,3,5,9,10,19,8,5,3,0,54,44,88,114,117,170,144,44,12,0,727
POA2176,11,69,149,127,147,106,38,3,0,660,46,99,209,212,205,196,51,5,0,1022,790,1908,3666,3037,3378,3169,860,54,8,16870
POA2177,14,28,52,51,71,39,10,0,0,247,11,48,98,75,102,54,11,0,0,391,236,689,1403,1112,1148,941,217,3,0,5751
POA2178,5,8,16,18,23,23,4,0,0,95,0,10,19,18,18,17,3,0,0,87,113,219,304,293,429,308,107,16,0,1785
POA2179,5,23,82,54,33,18,5,0,0,221,11,35,142,107,52,25,10,4,3,379,240,568,2543,2059,1044,595,129,17,5,7206
POA2190,17,29,58,80,85,65,17,0,0,356,21,59,119,119,107,70,21,0,0,512,463,937,1811,1798,1605,1214,287,32,0,8149
POA2191,11,10,19,29,30,26,3,0,0,127,0,10,24,23,26,20,8,8,0,109,134,222,511,559,625,428,86,10,0,2575
POA2192,3,17,42,40,51,41,3,0,0,202,4,34,83,66,66,39,10,0,0,314,152,535,1383,1140,1052,715,174,12,0,5155
POA2193,7,18,66,65,73,48,13,0,0,287,7,39,118,97,64,58,15,0,0,393,251,703,2330,2056,1679,1291,291,16,0,8623
POA2194,5,32,102,79,74,53,11,4,0,351,4,72,211,173,120,79,12,3,0,667,198,1183,3218,2301,1651,1187,235,19,0,9993
POA2195,7,19,61,50,45,36,12,0,0,234,5,36,202,156,92,55,22,0,0,577,227,763,2488,2041,1227,843,206,11,0,7805
POA2196,19,49,100,99,100,74,23,3,0,468,25,104,199,139,153,106,25,0,0,759,483,1310,2825,2398,2224,1589,321,31,0,11184
POA2197,4,7,27,26,21,29,8,0,0,130,10,19,48,51,33,23,13,0,0,197,147,316,675,661,577,449,114,13,0,2951
POA2198,7,10,32,43,36,24,8,4,0,153,14,17,45,51,47,14,7,0,0,196,177,332,668,771,758,448,156,27,0,3338
POA2199,11,10,56,52,55,32,11,0,0,227,13,51,93,87,77,68,24,0,0,417,242,709,1523,1278,1184,981,251,24,0,6191
POA2200,16,73,202,160,138,80,26,3,0,684,33,118,352,259,186,167,37,4,0,1154,519,1744,4361,3520,2808,2098,513,34,0,15604
POA2203,4,17,63,62,60,38,7,0,0,259,5,16,84,78,46,30,8,4,0,267,181,515,2215,2002,1612,1043,205,14,4,7789
